id_municipio,rede,diretoria,id_escola,id_escola_sp,nivel_socio_economico
3550308,estadual,NORTE 1,35000012,12,2.71
3550308,estadual,NORTE 1,35000024,24,3.93
3550308,estadual,NORTE 1,35000036,36,4.02
3550308,estadual,NORTE 1,35000048,48,4.27
3550308,estadual,NORTE 1,35000059,59,4.04
3550308,estadual,NORTE 1,35000061,61,4.55
3550308,estadual,NORTE 1,35000073,73,4.19
3550308,estadual,NORTE 1,35000085,85,3.86
3550308,estadual,NORTE 1,35000097,97,5.06
3550308,estadual,NORTE 1,35000103,103,5.09
3550308,estadual,NORTE 1,35000115,115,4.81
3550308,estadual,NORTE 1,35000127,127,3.04
3550308,estadual,NORTE 1,35000139,139,2.87
3550308,estadual,NORTE 1,35000140,140,3.37
3550308,estadual,NORTE 1,35000152,152,3.37
3550308,estadual,NORTE 1,35000164,164,2.64
3550308,estadual,NORTE 1,35000176,176,3.68
3550308,estadual,NORTE 1,35000188,188,2.56
3550308,estadual,NORTE 1,35000197,197,3.36
3550308,estadual,NORTE 1,35000206,206,3.7
3550308,estadual,NORTE 1,35000218,218,2.59
3550308,estadual,NORTE 1,35000224,224,3.01
3550308,estadual,NORTE 1,35000231,231,5.03
3550308,estadual,NORTE 1,35000243,243,3.78
3550308,estadual,NORTE 1,35000255,255,4.15
3550308,estadual,NORTE 1,35000267,267,1.85
3550308,estadual,NORTE 1,35000279,279,4.65
3550308,estadual,NORTE 1,35000280,280,3.33
3550308,estadual,NORTE 1,35000292,292,6.05
3550308,estadual,CENTRO,35000309,309,2.37
3550308,estadual,CENTRO,35000310,310,4.35
3550308,estadual,CENTRO,35000322,322,2.9
3550308,estadual,CENTRO,35000334,334,1.83
3550308,estadual,NORTE 1,35000346,346,1.94
3550308,estadual,CENTRO,35000358,358,4.12
3550308,estadual,NORTE 1,35000361,361,2.05
3550308,estadual,NORTE 2,35000371,371,3.86
3550308,estadual,CENTRO,35000383,383,2.74
3550308,estadual,NORTE 1,35000395,395,3.25
3550308,estadual,NORTE 1,35000401,401,2.62
3550308,estadual,NORTE 1,35000413,413,3.3
3550308,estadual,NORTE 2,35000425,425,3.81
3550308,estadual,CENTRO,35000437,437,2.4
3550308,estadual,CENTRO,35000449,449,5.85
3550308,estadual,NORTE 1,35000450,450,1.81
3550308,estadual,CENTRO,35000462,462,2.63
3550308,estadual,NORTE 1,35000474,474,2.76
3550308,estadual,CENTRO,35000498,498,2.84
3550308,estadual,CENTRO,35000504,504,3.29
3550308,estadual,CENTRO,35000516,516,2.92
3550308,estadual,CENTRO,35000528,528,4.39
3550308,estadual,CENTRO,35000536,536,3.02
3550308,estadual,CENTRO,35000541,541,4.65
3550308,estadual,NORTE 1,35000553,553,0.83
3550308,estadual,NORTE 1,35000565,565,5.54
3550308,estadual,CENTRO,35000577,577,4.25
3550308,estadual,NORTE 1,35000589,589,3.55
3550308,estadual,CENTRO,35000590,590,4
3550308,estadual,NORTE 2,35000607,607,3.45
3550308,estadual,NORTE 1,35000619,619,2.98
3550308,estadual,NORTE 1,35000620,620,2.99
3550308,estadual,NORTE 1,35000632,632,4.8
3550308,estadual,NORTE 1,35000644,644,3.28
3550308,estadual,CENTRO,35000656,656,3.07
3550308,estadual,CENTRO,35000668,668,1.27
3550308,estadual,LESTE 5,35000673,673,3.75
3550308,estadual,CENTRO,35000681,681,2.83
3550308,estadual,NORTE 2,35000693,693,4.99
3550308,estadual,LESTE 5,35000700,700,4.54
3550308,estadual,CENTRO,35000711,711,1.82
3550308,estadual,CENTRO,35000723,723,2.08
3550308,estadual,NORTE 2,35000735,735,1.65
3550308,estadual,LESTE 5,35000747,747,2.68
3550308,estadual,LESTE 5,35000759,759,3.87
3550308,estadual,CENTRO,35000760,760,1.77
3550308,estadual,NORTE 2,35000772,772,2.77
3550308,estadual,CENTRO,35000784,784,3.9
3550308,estadual,LESTE 5,35000796,796,5.08
3550308,estadual,LESTE 5,35000802,802,3.03
3550308,estadual,NORTE 2,35000814,814,4.74
3550308,estadual,LESTE 5,35000838,838,3.55
3550308,estadual,CENTRO,35000848,848,2.37
3550308,estadual,LESTE 5,35000851,851,4.38
3550308,estadual,NORTE 2,35000863,863,1.73
3550308,estadual,NORTE 2,35000875,875,2.49
3550308,estadual,CENTRO,35000899,899,3.52
3550308,estadual,NORTE 2,35000905,905,3.3
3550308,estadual,CENTRO,35000917,917,1.28
3550308,estadual,CENTRO,35000929,929,1.51
3550308,estadual,CENTRO,35000930,930,1.99
3550308,estadual,CENTRO,35000942,942,2.7
3550308,estadual,CENTRO,35000966,966,1.61
3550308,estadual,CENTRO,35000978,978,2.46
3550308,estadual,CENTRO,35000985,985,3.17
3550308,estadual,NORTE 2,35001004,1004,3.41
3550308,estadual,NORTE 2,35001016,1016,2.57
3550308,estadual,NORTE 2,35001028,1028,4.07
